"page","query","clicks","impressions","ctr","position"
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modelling agencies brisbane",39,1286,0.030326594090202177,6.0451010886469669
"https://dave-blake.com/","dave blake photography",23,63,0.36507936507936506,1.8571428571428572
"https://dave-blake.com/","dave blake",22,330,0.066666666666666666,4.9363636363636365
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","brisbane modelling agencies",9,642,0.014018691588785047,8.16355140186916
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modeling agencies brisbane",7,465,0.015053763440860216,8.3569892473118284
"https://dave-blake.com/story/tag/Lacey+Nelson","lacey nelson model",7,70,0.1,4.7285714285714286
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","model agencies brisbane",5,233,0.021459227467811159,8.0214592274678118
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","top modelling agencies brisbane",5,119,0.042016806722689079,4.2016806722689077
"https://dave-blake.com/story/tag/Lacey+Nelson","lacey nelson",4,190,0.021052631578947368,3.3526315789473684
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","brisbane modelling agency",3,366,0.00819672131147541,7.1530054644808745
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modelling agency brisbane",3,483,0.0062111801242236021,8.658385093167702
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modelling brisbane",3,276,0.010869565217391304,10.47463768115942
"https://dave-blake.com/photographer/brisbane-fashion-photographer","brisbane fashion photographer",3,61,0.049180327868852458,6.4590163934426226
"https://dave-blake.com/photographer/brisbane-fashion-photographer","fashion photographer brisbane",3,57,0.052631578947368418,8.6491228070175445
"https://dave-blake.com/","fashion photographer sydney",2,76,0.026315789473684209,2.6447368421052628
"https://dave-blake.com/blog","dave blake photography",2,47,0.0425531914893617,3.3404255319148937
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","best modelling agencies brisbane",2,29,0.068965517241379309,4.137931034482758
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","brisbane modeling agencies",2,172,0.011627906976744186,7.8313953488372094
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modelling agencies",2,307,0.0065146579804560263,17.250814332247558
"https://dave-blake.com/gosees","siobhan mcgroarty",2,187,0.0106951871657754,9.6470588235294112
"https://dave-blake.com/photographer","dave blake photography",2,35,0.057142857142857141,2.3714285714285714
"https://dave-blake.com/story/tag/Mollye+Rogel","mollye rogel",2,145,0.013793103448275862,6.2482758620689651
"https://dave-blake.com/","bikini photographer",1,4,0.25,5.75
"https://dave-blake.com/","brisbane fashion photographer",1,43,0.023255813953488372,10.232558139534884
"https://dave-blake.com/","fashion photographer brisbane",1,36,0.027777777777777776,8.9722222222222214
"https://dave-blake.com/","swimwear photographer",1,33,0.030303030303030304,9.1212121212121211
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","brisbane model agency",1,267,0.0037453183520599251,7.7528089887640448
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","model agency brisbane",1,230,0.0043478260869565218,10.226086956521739
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modeling agency brisbane",1,261,0.0038314176245210726,8.64750957854406
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modelling agencies in brisbane",1,189,0.0052910052910052907,7.693121693121693
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","modelling in brisbane",1,30,0.033333333333333333,8.4
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","models brisbane",1,58,0.017241379310344827,14.362068965517242
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","top modelling agencies australia",1,15,0.066666666666666666,19.4
"https://dave-blake.com/byron-bay-photography-equipment-rental","camera rentals",1,1,1,11
"https://dave-blake.com/byron-bay-photography-equipment-rental","rent a camera near me",1,2,0.5,6.5
"https://dave-blake.com/model-test-shoots/brisbane","model test shoot",1,6,0.16666666666666666,1.8333333333333335
"https://dave-blake.com/model-tests","how much does a modeling portfolio cost",1,4,0.25,32.25
"https://dave-blake.com/model-tests","model test shoot rates",1,5,0.2,8.2
"https://dave-blake.com/packages/model-portfolio-photographer","photoshoot portfolio package",1,11,0.090909090909090912,19.181818181818183
"https://dave-blake.com/photographer/brisbane-fashion-photographer","fashion photographer",1,841,0.0011890606420927466,58.933412604042807
"https://dave-blake.com/photographer/swimwear-photography-brisbane","bikini photographer",1,1,1,6
