"query","clicks","impressions","ctr","position"
"modelling agencies brisbane",39,1286,0.030326594090202177,6.0451010886469669
"dave blake photography",26,67,0.38805970149253732,2.8955223880597014
"dave blake",22,336,0.065476190476190479,5.2619047619047619
"brisbane modelling agencies",9,642,0.014018691588785047,8.16355140186916
"lacey nelson model",7,70,0.1,4.7142857142857144
"modeling agencies brisbane",7,465,0.015053763440860216,8.3569892473118284
"lacey nelson",5,209,0.023923444976076555,3.5837320574162681
"model agencies brisbane",5,233,0.021459227467811159,8.0214592274678118
"top modelling agencies brisbane",5,119,0.042016806722689079,4.2016806722689077
"brisbane fashion photographer",4,73,0.0547945205479452,9.6164383561643838
"brisbane modelling agency",3,366,0.00819672131147541,7.1530054644808745
"fashion photographer brisbane",3,67,0.044776119402985072,8.4179104477611943
"modelling agency brisbane",3,483,0.0062111801242236021,8.658385093167702
"modelling brisbane",3,276,0.010869565217391304,10.47463768115942
"best modelling agencies brisbane",2,29,0.068965517241379309,4.137931034482758
"bikini photographer",2,19,0.10526315789473684,10.789473684210526
"brisbane modeling agencies",2,172,0.011627906976744186,7.8313953488372094
"fashion photographer sydney",2,76,0.026315789473684209,2.6447368421052628
"modelling agencies",2,307,0.0065146579804560263,17.250814332247558
"mollye rogel",2,145,0.013793103448275862,6.1724137931034484
"siobhan mcgroarty",2,187,0.0106951871657754,9.6470588235294112
"alys hale",1,78,0.01282051282051282,7.4871794871794872
"annie ericson",1,6,0.16666666666666666,16.166666666666664
"annie ericson nude",1,1,1,21
"anouk daddo",1,9,0.1111111111111111,5.333333333333333
"barbara di creddo",1,38,0.026315789473684209,12.026315789473685
"beth hurrell",1,19,0.052631578947368418,13.684210526315789
"bikini photographers",1,1,1,6
"brisbane model agency",1,267,0.0037453183520599251,7.7528089887640448
"byron bay models",1,98,0.01020408163265306,7.2244897959183669
"camera rentals",1,1,1,11
"carlie philby",1,48,0.020833333333333332,1.4375
"chaye hartwell",1,82,0.012195121951219513,8.3902439024390247
"fashion photographer",1,851,0.0011750881316098707,58.25734430082256
"frankie scotney",1,12,0.083333333333333329,6.083333333333333
"how much does a modeling portfolio cost",1,8,0.125,19.125
"isabelle van der tuin",1,15,0.066666666666666666,8.5333333333333332
"julia durham",1,107,0.0093457943925233638,2.9065420560747661
"kirsty clemments porn",1,3,0.33333333333333331,12.333333333333334
"lauren johansen-bell",1,1,1,13
"michelle bagarra nude",1,41,0.024390243902439025,6.2195121951219514
"model agency brisbane",1,230,0.0043478260869565218,10.226086956521739
"model test shoot",1,9,0.1111111111111111,5
"model test shoot rates",1,5,0.2,8.2
"modeling agency brisbane",1,261,0.0038314176245210726,8.64750957854406
"modelling agencies in brisbane",1,189,0.0052910052910052907,7.693121693121693
"modelling in brisbane",1,30,0.033333333333333333,8.4
"models brisbane",1,58,0.017241379310344827,14.362068965517242
"photoshoot portfolio package",1,11,0.090909090909090912,19.181818181818183
"rent a camera near me",1,2,0.5,6.5
"steph rayner bio",1,3,0.33333333333333331,19.666666666666668
"swimwear photographer",1,40,0.025,11.1
"top modelling agencies australia",1,15,0.066666666666666666,19.4
"#editorialphotographer",0,150,0,10.226666666666667
"#editorialphotography",0,62,0,13.016129032258064
"#fashionphotographer",0,51,0,13.607843137254902
"#modellingagencies",0,5,0,9.8
"#modelphotographer",0,3,0,8
"#monikaclarke",0,6,0,25.5
"#swimwearphotographer",0,7,0,9.1428571428571423
"#testshoots",0,2,0,7
"3 month photography course",0,2,0,3.5
"50 year old models wanted",0,1,0,1
"80s glam photoshoot",0,1,0,44
"_charlotte_raw insta",0,4,0,8.75
"a fashion photographer",0,1,0,9
"abbey maher",0,2,0,1.5
"abbey maher latest",0,11,0,6.4545454545454541
"abigail o neill",0,22,0,2.3636363636363633
