query	clicks	impressions	ctr	position
modelling agencies brisbane	37	1262	0.029318541996830427	6.1909667194928684
dave blake photography	24	65	0.36923076923076925	2.953846153846154
dave blake	22	333	0.066066066066066062	5.3213213213213217
brisbane modelling agencies	7	621	0.011272141706924315	8.3719806763285014
lacey nelson model	7	71	0.098591549295774641	4.619718309859155
lacey nelson	5	212	0.02358490566037736	3.5613207547169812
model agencies brisbane	5	223	0.022421524663677129	8.2331838565022419
top modelling agencies brisbane	5	120	0.041666666666666664	4.3333333333333339
brisbane fashion photographer	4	73	0.0547945205479452	9.6986301369863011
modeling agencies brisbane	4	433	0.0092378752886836026	8.51039260969977
brisbane modelling agency	3	349	0.0085959885386819486	7.2435530085959883
fashion photographer brisbane	3	69	0.043478260869565216	8.1594202898550723
best modelling agencies brisbane	2	26	0.076923076923076927	4.1923076923076925
bikini photographer	2	19	0.10526315789473684	10.789473684210526
brisbane modeling agencies	2	168	0.011904761904761904	8.0059523809523814
fashion photographer sydney	2	79	0.025316455696202531	2.7215189873417724
isabelle van der tuin	2	16	0.125	8.8125
modelling agencies	2	285	0.0070175438596491229	17.912280701754387
modelling agency brisbane	2	456	0.0043859649122807015	8.712719298245613
modelling brisbane	2	254	0.007874015748031496	10.65748031496063
mollye rogel	2	146	0.0136986301369863	6.0616438356164384
siobhan mcgroarty	2	174	0.011494252873563218	9.9425287356321839
alys hale	1	69	0.014492753623188406	8.1014492753623184
annie ericson	1	5	0.2	17.2
annie ericson nude	1	1	1	21
anouk daddo	1	9	0.1111111111111111	5.333333333333333
barbara di creddo	1	35	0.028571428571428571	12.342857142857143
beth hurrell	1	11	0.090909090909090912	16.454545454545453
bikini photographers	1	1	1	6
brisbane model agency	1	256	0.00390625	7.83203125
byron bay models	1	91	0.01098901098901099	7.0989010989010985
camera rentals	1	1	1	11
carlie philby	1	51	0.0196078431372549	1.4509803921568627
chaye hartwell	1	81	0.012345679012345678	8.432098765432098
ella grantham	1	5	0.2	2.8
fashion photographer	1	839	0.0011918951132300357	60.358760429082238
frankie scotney	1	12	0.083333333333333329	6.333333333333333
how much does a modeling portfolio cost	1	8	0.125	19.125
julia durham	1	95	0.010526315789473684	2.9578947368421051
michelle bagarra	1	23	0.043478260869565216	10.434782608695652
michelle bagarra nude	1	44	0.022727272727272728	6.0681818181818183
model agency brisbane	1	218	0.0045871559633027525	10.243119266055047
model test shoot	1	9	0.1111111111111111	5
model test shoot rates	1	4	0.25	10
modeling agency brisbane	1	253	0.003952569169960474	8.75889328063241
modelling in brisbane	1	32	0.03125	8.65625
models brisbane	1	51	0.0196078431372549	14.823529411764707
photoshoot portfolio package	1	11	0.090909090909090912	18.454545454545453
rent a camera near me	1	2	0.5	6.5
steph rayner bio	1	3	0.33333333333333331	19.666666666666668
swimwear photographer	1	32	0.03125	11.3125
test shoots near me	1	3	0.33333333333333331	10.333333333333334
#editorialphotographer	0	150	0	10.226666666666667
#editorialphotography	0	63	0	13
#fashionphotographer	0	51	0	13.607843137254902
#modellingagencies	0	5	0	9.8
#modelphotographer	0	3	0	8
#monikaclarke	0	6	0	25.5
#swimwearphotographer	0	7	0	9.1428571428571423
#testshoots	0	2	0	7
3 month photography course	0	1	0	6
50 year old models wanted	0	1	0	1
80s glam photoshoot	0	1	0	44
_charlotte_raw insta	0	4	0	8.75
a fashion photographer	0	1	0	9
abbey maher	0	2	0	1.5
abbey maher latest	0	11	0	6.4545454545454541
abigail o neill	0	25	0	2.2
abigail o neill model	0	15	0	2.9333333333333336
abigail o'neill	0	5	0	1
abigail oneal	0	20	0	1.55
abigail oneil	0	1	0	1
abigail oneill	0	2	0	1
abigail o’neill	0	1	0	1
achenrin madit	0	1	0	47
acting agencies brisbane	0	20	0	73
agencies for modeling	0	1	0	20
agencies in brisbane	0	82	0	33.170731707317074
agencies modeling	0	2	0	8.5
agency modeling near me	0	1	0	11
aje coast denim jacket	0	1	0	33
alicia herbeth nude	0	4	0	29
alt swim	0	1	0	9
and blake	0	1	0	4
anisha okpalanze	0	1	0	34
annabella barber	0	13	0	11.692307692307692
annie ericson model	0	3	0	5.666666666666667
anouk bibi daddo	0	12	0	9.25
anouk model	0	1	0	1
any photos ?	0	1	0	10
apply model agency	0	1	0	9
audrey bradford	0	4	0	6.5
audrey bradford bio	0	29	0	9
audrey bradford model	0	1	0	10
audrey bradford x	0	2	0	6
aus model agency	0	1	0	92
australia model agency	0	2	0	85
australia modeling agencies	0	4	0	68
australia modelling agencies	0	1	0	68
australian fashion photographer	0	35	0	35.342857142857142
australian fashion photographers	0	12	0	17.166666666666668
australian fashion photography	0	28	0	13.964285714285714
australian model agencies	0	2	0	60
australian modeling agencies	0	1	0	90
australian modelling agencies	0	1	0	41
bagarra	0	1	0	20
balistarz model agency	0	1	0	19
bayaje	0	3	0	18.333333333333332
beach glamour photography	0	1	0	22
beachboyd blake	0	10	0	15.5
beauty model	0	1	0	1
beauty photography course	0	25	0	13.52
beauty portfolio	0	1	0	1
beginner modelling agencies	0	1	0	9
bella blake nude	0	1	0	14
bella model management	0	1	0	83
bella modeling agency	0	1	0	74
bella modelling agency	0	89	0	64.831460674157313
bella talent agency	0	1	0	98
bellevive	0	1	0	27
best agencies for modeling	0	1	0	62
best agency for older models	0	65	0	74.15384615384616
best model agencies	0	5	0	21.6
best model agency	0	1	0	1
best model agency australia	0	88	0	69.045454545454547
best model companies	0	3	0	29.666666666666668
best model portfolio photographers	0	89	0	18.033707865168541
best modeling agencies	0	5	0	35.4
best modeling agencies in australia	0	1	0	14
best modeling agencies to send pictures	0	1	0	6
best modeling agency	0	1	0	10
best modeling agencys	0	1	0	10
best modeling companies	0	2	0	75.5
best modelling agencies	0	10	0	17.6
best modelling agencies australia	0	11	0	16.727272727272727
best modelling agencies gold coast	0	6	0	11.833333333333334
best modelling agencies in australia	0	9	0	16.666666666666664
best modelling agencies in sydney	0	4	0	65.25
best modelling agency	0	4	0	13.25
best modelling agency australia	0	8	0	39.75
best modelling agency sydney	0	11	0	82.454545454545453
best models agency	0	2	0	19.5
best models contact information	0	5	0	16.4
best models modeling agency details	0	2	0	11
best models modeling agency services	0	2	0	6
best models reputation	0	2	0	16
best mother agencies	0	1	0	4
best photographer for model portfolio	0	9	0	82.888888888888886
beth claverie	0	7	0	35.714285714285715
beth hurrell nude	0	1	0	49
beth undone nude	0	1	0	18
big modeling agencies	0	2	0	64
big modeling agency	0	1	0	62
big modelling agencies	0	4	0	46
biggest modeling agencies	0	1	0	79
biggest modelling agencies	0	6	0	24.5
bikini models photographer gold coast	0	1	0	12
bikini photographer gold coast	0	4	0	23.75
bikini photoshoot studio	0	1	0	4
bimby and roy	0	2	0	5
black and white fashion photographer	0	2	0	53.5
blake camera	0	1	0	31
blake dave	0	3	0	3.3333333333333335
blake david	0	12	0	8.25
blake mcnamara	0	1	0	1
blake model	0	1	0	38
blake model management	0	1	0	20
blake nelson photography	0	2	0	46.5
blake photo	0	12	0	13
blake photography	0	72	0	8.4166666666666679
blake photography latest	0	21	0	7.2857142857142856
blake rose nude	0	1	0	9
blake+photo	0	5	0	53.6
blake.com	0	1	0	57
blakebadazz	0	1	0	7
blakecom	0	1	0	11
blakedvs	0	1	0	2
blakepolaroids latest	0	6	0	10.333333333333334
blakes photography	0	7	0	7.8571428571428568
body paint photo shoot	0	1	0	7
boudoir photography brisbane	0	1	0	81
boudoir shoot brisbane	0	1	0	41
boutique modeling agencies	0	2	0	11
brand modeling agency	0	1	0	1
brisbane acting agency	0	17	0	75.058823529411768
brisbane agencies	0	39	0	60.794871794871796
brisbane based street photographer	0	2	0	10.5
brisbane beauty models	0	2	0	16
brisbane boudoir photographer	0	2	0	61
brisbane casting agency	0	4	0	24.25
brisbane fashion videographer	0	9	0	24.111111111111111
brisbane model	0	136	0	13.5
brisbane model agencies	0	3	0	9.3333333333333339
brisbane model latest	0	107	0	11.654205607476635
brisbane modeling	0	21	0	13.571428571428571
brisbane modeling agency	0	21	0	8.5238095238095237
brisbane modelling	0	244	0	10.569672131147541
brisbane models	0	208	0	17.177884615384617
brisbane models latest	0	17	0	16
brisbane photographer	0	2	0	111
brisbane talent agency	0	3	0	58
brisbane videography	0	1	0	161
build me a list of on-model photography packages.	0	1	0	4
byron anderson model	0	6	0	1
byron bay bathers	0	1	0	78
byron bay lauren bell dress	0	2	0	1.5
byron bay model	0	3	0	9.3333333333333339
byron bay model latest	0	24	0	12.458333333333334
byron bay photographer	0	18	0	47.111111111111114
byron bay swimwear	0	6	0	59.333333333333336
byron model	0	1	0	10
byron models	0	8	0	13.875
cam blake photography	0	8	0	31.75
camera equipment hire	0	1	0	10
camera hire near me	0	2	0	5
camera lens hire	0	2	0	6
camera lens rental	0	1	0	10
camera rent	0	1	0	9
camera rental gear	0	1	0	15
camera.rental	0	1	0	7
caroline lowe	0	7	0	6
caroline lowe (carolinelowe) latest	0	15	0	15.4
caroline lowe model	0	9	0	6.1111111111111107
caroline raw	0	1	0	10
casting agency brisbane	0	1	0	30
charlotte coquelin	0	5	0	47.6
charlotte coquelin nude	0	1	0	10
chiara dorward	0	4	0	10
chic brisbane, modelling agency, brisbane	0	24	0	6.958333333333333
chic management	0	1	0	9
child model agency brisbane	0	3	0	77.666666666666671
chloe bau	0	1	0	35
chloe wheatland nude	0	3	0	9.6666666666666661
chloe worthington	0	1	0	1
cinematic gts vanessa	0	1	0	11
clean living co	0	2	0	11.5
clothing fashion photography	0	1	0	13
clothing photographers	0	1	0	11
cocoblake, creative director, latest	0	13	0	19.307692307692307
commercial modeling agencies	0	22	0	64
commercial modeling agencies near me	0	1	0	4
commercial modelling agencies	0	2	0	82
comp card	0	2	0	13
contact model agency	0	2	0	66
corporate photographer byron bay	0	15	0	80.733333333333334
corporate photography byron bay	0	19	0	87.10526315789474
d ballam photography	0	1	0	7
dallys models	0	3	0	13.333333333333334
dave black photography	0	1	0	12
dave blake, latest	0	9	0	15.777777777777779
dave brisbane	0	13	0	6.0769230769230766
dave philby	0	9	0	87
dave photography	0	20	0	11.75
dave photos	0	2	0	8.5
dave photoshoot	0	4	0	8.75
dave's photography	0	1	0	1
david balke	0	2	0	4.5
david ballam photography	0	1	0	7
david blake	0	7	0	28.142857142857142
david blake artist	0	2	0	5.5
david blakes	0	2	0	7.5
define editorial photography	0	1	0	10
digital camera hire	0	1	0	4
editorial modeling agencies	0	31	0	21.35483870967742
editorial photograph definition characteristics	0	1	0	9
editorial vs documentary photography	0	1	0	1
egith	0	1	0	1
egith van dinther	0	3	0	7.666666666666667
ehlana	0	7	0	94.571428571428569
elle brittain nude	0	1	0	5
elle mcnamara	0	10	0	16.1
ellie o'neill model	0	1	0	47
equipment hire byron bay	0	35	0	26.828571428571429
face modeling agencies	0	21	0	60.857142857142854
famous modeling agencies	0	1	0	10
famous modelling agencies	0	4	0	8
fashion and beauty photographer	0	66	0	21
fashion and editorial photography	0	1	0	13
fashion model photography	0	1	0	7
fashion model portfolio photography	0	1	0	96
fashion model portfolios	0	10	0	58.2
fashion modeling portfolio	0	1	0	94
fashion modelling agencies	0	1	0	13
fashion photographer australia	0	19	0	15.684210526315789
fashion photographer gold coast	0	13	0	16.76923076923077
fashion photographer latest	0	5	0	18.6
fashion photographers	0	11	0	42
fashion photographers model portfolio	0	1	0	77
fashion photographers sydney	0	22	0	2.4090909090909092
fashion photography	0	24	0	7.041666666666667
fashion photography agency	0	1	0	1
fashion photography course	0	3	0	16.333333333333336
fashion photography course online	0	2	0	11
fashion photography courses	0	2	0	7.5
fashion photography gold coast	0	11	0	25.545454545454547
fashion photography packages	0	3	0	14.333333333333334
fashion photography photographers	0	108	0	82.379629629629633
fashion photography sydney	0	12	0	12.083333333333334
fashion phtography	0	2	0	3.5
fashion still life photographers	0	1	0	12
fashion videographer brisbane	0	14	0	25.214285714285715
fashion videography brisbane	0	12	0	16.166666666666664
fashionable photography	0	6	0	5
female model portfolios	0	2	0	89.5
female models for hire near me	0	1	0	5
fitness photographer gold coast	0	18	0	18.944444444444443
fitness phtographer gold coast	0	4	0	9.5
foot model portfolio	0	3	0	96.333333333333329
fotografo de moda	0	1	0	10
frankie bon scotney	0	36	0	8
free modelling agencies	0	2	0	8.5
freelance model brisbane	0	5	0	13.4
gap studios brisbane	0	1	0	100
genevieve peccinotti	0	1	0	11
ghost modelling	0	1	0	6
glamour fashion photographer gold coast	0	1	0	14
glamour modeling agencies	0	1	0	10
gold coast model agency	0	2	0	13.5
gold coast model photography	0	1	0	88
gold coast modelling	0	1	0	87
gold coast modelling agencies	0	12	0	15.083333333333334
gold coast modelling agency	0	3	0	15.333333333333334
good model agencies	0	1	0	23
good model agency	0	1	0	70
good modeling agencies	0	11	0	39.363636363636367
good modelling agencies	0	2	0	2
great modeling agencies	0	6	0	28.166666666666668
gymshark photography	0	1	0	60
hair model portfolio	0	2	0	64.5
hand model agency	0	1	0	10
hand model brisbane	0	6	0	11.833333333333334
hand modeling agencies	0	1	0	1
high fashion modeling agencies	0	1	0	11
hire a model	0	1	0	66
hire model test photographers	0	1	0	16
how much does a model portfolio cost	0	1	0	67
how much does a portfolio cost	0	5	0	4.4
how much is a portfolio for modeling	0	2	0	69.5
how to apply for modelling	0	1	0	1
how to become a model brisbane	0	3	0	9.6666666666666661
how to become a model in brisbane	0	47	0	3.7659574468085109
how to book a model	0	54	0	85.962962962962962
how to find a modeling agency	0	1	0	6
how to find good modeling gigs?	0	2	0	6
how to get a modelling agent	0	3	0	1
how to get modeling agent	0	1	0	17
how to get modelling jobs	0	1	0	1
how to get signed with a modelling agency	0	1	0	7
img models brisbane	0	1	0	8
in australia brisbane	0	1	0	14
inclusive modelling agencies	0	1	0	58
is a fashion and editorial photographer	0	5	0	1
isabelle marcovich	0	1	0	10
isadora vieira	0	12	0	1
jayde heath	0	3	0	18
jayde stella	0	20	0	15
jayde stella (jaydeheathh) latest	0	52	0	17.115384615384617
jayde stella nude	0	8	0	10.375
jessica picton warlow	0	1	0	50
jordan barret shoes latest	0	23	0	16.173913043478262
jordan barret walk	0	144	0	12.125
jordan barret walk edit latest	0	1	0	20
jordan barrett	0	1	0	11
jordan barrett 17	0	1	0	21
jordan barrett 2017	0	5	0	56.4
jordan barrett close up	0	1	0	10
jordan barrett crying	0	1	0	9
jordan barrett fashion	0	3	0	42.666666666666664
jordan barrett fashion show	0	3	0	16.666666666666664
jordan barrett feet	0	1	0	37
jordan barrett front	0	1	0	39
jordan barrett model runway	0	2	0	16
jordan barrett outfits	0	2	0	16.5
jordan barrett running	0	1	0	20
jordan barrett runway	0	15	0	13.666666666666666
jordan barrett runway walk	0	4	0	15
jordan barrett shoes	0	4	0	19.75
jordan barrett style	0	1	0	9
jordan barrett walk	0	103	0	11.951456310679612
jordan barrett walk latest	0	63	0	11.34920634920635
jordan barrett walking	0	11	0	14.181818181818182
jordan barrett without makeup	0	1	0	25
jul model agency	0	1	0	9
julia newberry	0	7	0	2.2857142857142856
julia newbery	0	3	0	3
kane anderson	0	665	0	4.3278195488721805
kate lane nude	0	1	0	37
kateraw	0	7	0	9.7142857142857135
key modelling agency	0	9	0	50.111111111111114
kirsten clemens	0	122	0	3.0163934426229506
kirsty clemments porn	0	2	0	11
lacey hells kitchen	0	1	0	30
lacy nelson	0	4	0	42
leading modeling agencies	0	1	0	31
legitimate modelling agencies	0	2	0	4.5
lilli robinson	0	1	0	7
lily hoffman nude	0	2	0	14
lingerie model agency	0	33	0	81.242424242424249
local modeling agencies	0	1	0	18
local modelling agencies near me	0	1	0	6
looking for models near me	0	1	0	1
lostandfound	0	1	0	1
lucie blake photography	0	1	0	27
lémoda	0	1	0	42
macbook battery replacement byron bay	0	1	0	55
maja elmstrom	0	2	0	18.5
maja elmström	0	3	0	8.3333333333333321
major model management paris	0	1	0	78
make up model	0	1	0	1
make up modeling	0	1	0	3
male fashion photographers	0	1	0	13
male modeling agencies	0	1	0	10
male models brisbane	0	1	0	66
mari lederman bio	0	1	0	10
mari lederman feet	0	1	0	8
mari lederman nude	0	1	0	7
mari lederman nudes	0	7	0	25.285714285714285
marvel lane	0	4	0	9.25
marvell lane	0	6	0	10
marvell lane paddington	0	3	0	21
marvell lane swim	0	7	0	41.142857142857146
marvell_lane nude	0	1	0	16
matthew blake photography	0	1	0	19
mentor photography	0	1	0	56
mentoring photography	0	2	0	27.5
millicent lambert	0	10	0	2.1
milly lambert	0	6	0	8.5
model acting agency	0	1	0	97
model agancies	0	1	0	4
model agencies	0	58	0	23.258620689655171
model agencies australia	0	4	0	66
model agencies gold coast	0	12	0	16
model agencies near me	0	7	0	37.571428571428569
model agency	0	11	0	17.09090909090909
