"page_url","page_path","clicks","impressions","in_legacy_inventory","legacy_candidate_count","legacy_example","priority","reason","target_url","recommended_action"
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","/blog/top-modelling-agencies-brisbane-how-to-get-signed","145","12291","1","1","/blog/top-modelling-agencies-brisbane-how-to-get-signed.html","P0","exact_path_preservation","https://www.dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","migrate_page_content"
"https://dave-blake.com/","/","138","2626","1","1","/","P0","exact_path_preservation","https://www.dave-blake.com/","migrate_page_content"
"https://dave-blake.com/photographer/brisbane-fashion-photographer","/photographer/brisbane-fashion-photographer","25","1719","1","1","/photographer/brisbane-fashion-photographer.html","P1","exact_path_preservation","https://www.dave-blake.com/photographer/brisbane-fashion-photographer","migrate_page_content"
"https://dave-blake.com/model-tests","/model-tests","19","1555","1","1","/model-tests.html","P1","exact_path_preservation","https://www.dave-blake.com/model-tests","migrate_page_content"
"https://dave-blake.com/services/model-portfolios/brisbane","/services/model-portfolios/brisbane","17","408","1","1","/services/model-portfolios/brisbane.html","P1","exact_path_preservation","https://www.dave-blake.com/services/model-portfolios/brisbane","migrate_page_content"
"https://dave-blake.com/story/tag/Lacey+Nelson","/story/tag/Lacey+Nelson","16","399","1","1","/story/tag/Lacey+Nelson.html","P1","consolidate_tag_taxonomy","https://www.dave-blake.com/story","redirect_consolidation"
"https://dave-blake.com/model-test-shoots/brisbane","/model-test-shoots/brisbane","15","800","1","1","/model-test-shoots/brisbane.html","P1","exact_path_preservation","https://www.dave-blake.com/model-test-shoots/brisbane","migrate_page_content"
"https://dave-blake.com/gosee/img/ellag","/gosee/img/ellag","12","78","0","0","","P1","not_in_inventory","https://www.dave-blake.com/gosee/img/ellag","recover_or_map_redirect"
"https://dave-blake.com/photographer/swimwear-photography-sydney","/photographer/swimwear-photography-sydney","11","137","1","1","/photographer/swimwear-photography-sydney.html","P1","exact_path_preservation","https://www.dave-blake.com/photographer/swimwear-photography-sydney","migrate_page_content"
"https://dave-blake.com/packages/model-portfolio-photographer","/packages/model-portfolio-photographer","10","1160","0","0","","P1","not_in_inventory","https://www.dave-blake.com/packages/model-portfolio-photographer","recover_or_map_redirect"
"https://dave-blake.com/services/model-portfolios/byron-bay","/services/model-portfolios/byron-bay","10","381","1","1","/services/model-portfolios/byron-bay.html","P1","exact_path_preservation","https://www.dave-blake.com/services/model-portfolios/byron-bay","migrate_page_content"
"https://dave-blake.com/gosees","/gosees","9","415","0","0","","P2","not_in_inventory","https://www.dave-blake.com/gosees","recover_or_map_redirect"
"https://dave-blake.com/byron-bay-photography-equipment-rental","/byron-bay-photography-equipment-rental","8","261","0","0","","P2","not_in_inventory","https://www.dave-blake.com/byron-bay-photography-equipment-rental","recover_or_map_redirect"
"https://dave-blake.com/story/tag/Mollye+Rogel","/story/tag/Mollye+Rogel","7","253","1","1","/story/tag/Mollye+Rogel.html","P2","consolidate_tag_taxonomy","https://www.dave-blake.com/story","redirect_consolidation"
